測位方式,測位開始待ち時間,TrackingTimer,Interval,アシストデータ削除時間,アシストデータ削除有無,ログ出力有無
TRACKING,10,30,20,3,false,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
09:34:37.530,09:34:44.794,true,35.22140999,139.67359484,7.264,736.0,1541637285602,2018-11-08T09:34:45+0900
09:34:37.530,09:34:45.773,true,35.22337945,139.67374447,8.243,57.0,1541637287056,2018-11-08T09:34:47+0900
09:34:37.530,09:34:51.776,true,35.2239134,139.67316919,14.246,41.0,1541637292628,2018-11-08T09:34:52+0900
09:34:37.530,09:34:52.790,true,35.22372511,139.6735668,15.26,40.0,1541637293589,2018-11-08T09:34:53+0900
09:34:37.530,09:34:53.778,true,35.22356547,139.67368475,16.248,41.0,1541637294640,2018-11-08T09:34:54+0900
09:34:37.530,09:34:54.776,true,35.22364595,139.67348127,17.246,32.0,1541637295640,2018-11-08T09:34:55+0900
09:34:37.530,09:34:55.772,true,35.22371838,139.67334678,18.242,23.0,1541637296000,2018-11-08T09:34:56+0900
09:34:37.530,09:34:58.181,true,35.22357173,139.67375226,20.651,45.0,1541637299000,2018-11-08T09:34:59+0900
09:34:37.530,09:34:59.154,true,35.22367417,139.67376172,21.624,41.0,1541637300000,2018-11-08T09:35:00+0900
09:34:37.530,09:35:00.204,true,35.22372704,139.6737803,22.674,37.0,1541637301000,2018-11-08T09:35:01+0900
09:34:37.530,09:35:01.127,true,35.2237181,139.6738409,23.597,34.0,1541637302000,2018-11-08T09:35:02+0900
09:34:37.530,09:35:02.161,true,35.22373269,139.67385501,24.631,32.0,1541637303000,2018-11-08T09:35:03+0900
09:34:37.530,09:35:03.164,true,35.22375715,139.67386896,25.634,29.0,1541637304000,2018-11-08T09:35:04+0900
09:34:37.530,09:35:04.164,true,35.22375595,139.67391714,26.634,27.0,1541637305000,2018-11-08T09:35:05+0900
09:34:37.530,09:35:05.160,true,35.22373889,139.67396486,27.63,27.0,1541637306000,2018-11-08T09:35:06+0900
09:34:37.530,09:35:06.158,true,35.22373855,139.67397555,28.628,28.0,1541637307000,2018-11-08T09:35:07+0900
09:34:37.530,09:35:07.161,true,35.22374046,139.67398436,29.631,28.0,1541637308000,2018-11-08T09:35:08+0900
09:34:37.530,09:35:07.548,false,0.0,0.0,30.018,0.0,-1,-1
