測位方式,測位開始待ち時間,TrackingTimer,Interval,アシストデータ削除時間,アシストデータ削除有無,ログ出力有無
TRACKING,10,30,20,3,false,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
10:05:09.177,10:05:12.834,true,35.22394336,139.67303871,3.657,7.0,922323913000,1999-03-25T10:05:13+0900
10:05:09.177,10:05:13.250,true,35.22394246,139.67302115,4.073,6.0,922323914000,1999-03-25T10:05:14+0900
10:05:09.177,10:05:14.117,true,35.22394136,139.67300262,4.94,8.0,922323915000,1999-03-25T10:05:15+0900
10:05:09.177,10:05:26.632,true,35.22394075,139.67299174,17.455,8.0,922323916000,1999-03-25T10:05:16+0900
10:05:09.177,10:05:26.679,true,35.22393079,139.67296674,17.502,9.0,922323919000,1999-03-25T10:05:19+0900
10:05:09.177,10:05:26.720,true,35.22392709,139.6729268,17.543,9.0,922323927000,1999-03-25T10:05:27+0900
10:05:09.177,10:05:27.419,true,35.22393008,139.67292091,18.242,9.0,922323928000,1999-03-25T10:05:28+0900
10:05:09.177,10:05:28.477,true,35.22392962,139.6729189,19.3,9.0,922323929000,1999-03-25T10:05:29+0900
10:05:09.177,10:05:35.589,true,35.22391282,139.67291885,26.412,10.0,922323936000,1999-03-25T10:05:36+0900
10:05:09.177,10:05:35.937,true,35.22390984,139.67291533,26.76,9.0,922323937000,1999-03-25T10:05:37+0900
10:05:09.177,10:06:00.582,true,35.2239092,139.67291288,51.405,9.0,922323938000,1999-03-25T10:05:38+0900
10:05:09.177,10:06:31.577,true,35.22390542,139.67291277,82.4,7.0,922323953000,1999-03-25T10:05:53+0900
10:05:09.177,10:06:31.939,true,35.22390255,139.67291413,82.762,7.0,922323954000,1999-03-25T10:05:54+0900
10:05:09.177,10:06:32.000,true,35.22389779,139.67290244,82.823,7.0,922323965000,1999-03-25T10:06:05+0900
10:05:09.177,10:06:32.061,true,35.2238985,139.67289471,82.884,8.0,922323969000,1999-03-25T10:06:09+0900
10:05:09.177,10:07:00.733,true,35.22376819,139.67286985,111.556,15.0,922324016000,1999-03-25T10:06:56+0900
10:05:09.177,10:07:01.074,true,35.22376618,139.67287275,111.897,16.0,922324021000,1999-03-25T10:07:01+0900
10:05:09.177,10:07:01.398,true,35.22376547,139.67287233,112.221,17.0,922324022000,1999-03-25T10:07:02+0900
10:05:09.177,10:08:00.466,false,0.0,0.0,171.289,0.0,-1,-1
