測位方式,測位開始待ち時間,TrackingTimer,Interval,アシストデータ削除時間,アシストデータ削除有無,ログ出力有無
TRACKING,10,30,20,3,false,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
10:13:51.069,10:13:56.234,true,35.22379438,139.67285029,5.165,15.0,922324437000,1999-03-25T10:13:57+0900
10:13:51.069,10:13:57.445,true,35.22381892,139.67284333,6.376,12.0,922324438000,1999-03-25T10:13:58+0900
10:13:51.069,10:13:58.193,true,35.22382555,139.6728263,7.124,10.0,922324439000,1999-03-25T10:13:59+0900
10:13:51.069,10:13:59.357,true,35.22382184,139.67282156,8.288,8.0,922324440000,1999-03-25T10:14:00+0900
10:13:51.069,10:14:00.168,true,35.22384205,139.67281996,9.099,7.0,922324441000,1999-03-25T10:14:01+0900
10:13:51.069,10:14:01.178,true,35.22384644,139.67282272,10.109,7.0,922324442000,1999-03-25T10:14:02+0900
10:13:51.069,10:14:02.171,true,35.22385479,139.67281894,11.102,6.0,922324443000,1999-03-25T10:14:03+0900
10:13:51.069,10:15:00.697,true,35.22386313,139.67282608,69.628,6.0,922324444000,1999-03-25T10:14:04+0900
10:13:51.069,10:15:00.758,true,35.22388167,139.67282177,69.689,4.0,922324456000,1999-03-25T10:14:16+0900
10:13:51.069,10:15:57.802,true,35.22388755,139.67282213,126.733,4.0,922324467000,1999-03-25T10:14:27+0900
10:13:51.069,10:15:57.876,true,35.2238881,139.67282213,126.807,3.0,922324468000,1999-03-25T10:14:28+0900
10:13:51.069,10:15:57.895,true,35.22389106,139.67282201,126.826,3.0,922324475000,1999-03-25T10:14:35+0900
10:13:51.069,10:15:57.973,true,35.22389269,139.67282189,126.904,3.0,922324480000,1999-03-25T10:14:40+0900
10:13:51.069,10:15:58.056,true,35.22389432,139.67282175,126.987,3.0,922324485000,1999-03-25T10:14:45+0900
10:13:51.069,10:15:58.074,true,35.22389546,139.6728217,127.005,3.0,922324489000,1999-03-25T10:14:49+0900
10:13:51.069,10:15:58.211,true,35.22389744,139.67282128,127.142,3.0,922324497000,1999-03-25T10:14:57+0900
10:13:51.069,10:15:58.225,true,35.22389959,139.67282009,127.156,3.0,922324509000,1999-03-25T10:15:09+0900
10:13:51.069,10:15:58.307,true,35.22390058,139.67281876,127.238,3.0,922324521000,1999-03-25T10:15:21+0900
10:13:51.069,10:15:58.360,true,35.22390144,139.67281804,127.291,3.0,922324532000,1999-03-25T10:15:32+0900
10:13:51.069,10:15:58.375,true,35.22390155,139.67281809,127.306,3.0,922324533000,1999-03-25T10:15:33+0900
10:13:51.069,10:15:58.383,true,35.22390178,139.67281819,127.314,3.0,922324535000,1999-03-25T10:15:35+0900
10:13:51.069,10:15:58.390,true,35.2239019,139.67281815,127.321,3.0,922324538000,1999-03-25T10:15:38+0900
10:13:51.069,10:15:58.400,true,35.22390193,139.67281822,127.331,3.0,922324539000,1999-03-25T10:15:39+0900
10:13:51.069,10:15:58.407,true,35.22390214,139.67281835,127.338,3.0,922324541000,1999-03-25T10:15:41+0900
