測位方式,測位開始待ち時間,TrackingTimer,Interval,アシストデータ削除時間,アシストデータ削除有無,ログ出力有無
TRACKING,10,30,20,3,false,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
11:18:05.701,11:18:10.441,true,35.22393371,139.67272588,4.74,9.0,922328291000,1999-03-25T11:18:11+0900
11:18:05.701,11:18:11.469,true,35.22399072,139.672819,5.768,10.0,922328292000,1999-03-25T11:18:12+0900
11:18:05.701,11:19:00.625,true,35.22405185,139.67274419,54.924,5.0,922328303000,1999-03-25T11:18:23+0900
11:18:05.701,11:19:01.108,true,35.22404249,139.67274397,55.407,5.0,922328319000,1999-03-25T11:18:39+0900
11:18:05.701,11:19:01.124,true,35.22404088,139.6727445,55.423,5.0,922328322000,1999-03-25T11:18:42+0900
11:18:05.701,11:19:01.147,true,35.22403787,139.67274519,55.446,4.0,922328327000,1999-03-25T11:18:47+0900
11:18:05.701,11:19:01.168,true,35.22403608,139.67274597,55.467,4.0,922328330000,1999-03-25T11:18:50+0900
11:18:05.701,11:19:01.168,true,35.22403509,139.6727464,55.467,4.0,922328332000,1999-03-25T11:18:52+0900
11:18:05.701,11:19:01.186,true,35.22403367,139.67274671,55.485,4.0,922328334000,1999-03-25T11:18:54+0900
11:18:05.701,11:19:01.224,true,35.22403159,139.6727483,55.523,4.0,922328341000,1999-03-25T11:19:01+0900
11:18:05.701,11:19:33.677,true,35.22403132,139.67274847,87.976,4.0,922328342000,1999-03-25T11:19:02+0900
11:18:05.701,11:19:33.717,true,35.224028,139.6727498,88.016,5.0,922328350000,1999-03-25T11:19:10+0900
11:18:05.701,11:19:33.807,true,35.22402711,139.67275382,88.106,4.0,922328361000,1999-03-25T11:19:21+0900
11:18:05.701,11:19:33.913,true,35.22402693,139.67275456,88.212,4.0,922328363000,1999-03-25T11:19:23+0900
11:18:05.701,11:19:33.950,true,35.22402683,139.6727549,88.249,4.0,922328364000,1999-03-25T11:19:24+0900
11:18:05.701,11:19:33.965,true,35.22402636,139.67275629,88.264,3.0,922328369000,1999-03-25T11:19:29+0900
11:18:05.701,11:19:33.983,true,35.22402628,139.67275815,88.282,3.0,922328374000,1999-03-25T11:19:34+0900
11:18:05.701,11:19:34.398,true,35.22402625,139.67275842,88.697,3.0,922328375000,1999-03-25T11:19:35+0900
11:18:05.701,11:19:35.544,true,35.22402625,139.67275882,89.843,3.0,922328376000,1999-03-25T11:19:36+0900
11:18:05.701,11:19:38.534,true,35.22402619,139.67275897,92.833,3.0,922328377000,1999-03-25T11:19:37+0900
11:18:05.701,11:19:38.546,true,35.2240258,139.67275922,92.845,3.0,922328379000,1999-03-25T11:19:39+0900
11:18:05.701,11:19:39.476,true,35.22402582,139.67275936,93.775,3.0,922328380000,1999-03-25T11:19:40+0900
11:18:05.701,11:20:00.661,true,35.22402586,139.67275946,114.96,3.0,922328381000,1999-03-25T11:19:41+0900
11:18:05.701,11:20:00.721,true,35.22402582,139.67275967,115.02,3.0,922328383000,1999-03-25T11:19:43+0900
11:18:05.701,11:20:11.663,true,35.22402478,139.67276061,125.962,3.0,922328396000,1999-03-25T11:19:56+0900
11:18:05.701,11:20:11.696,true,35.22402464,139.67276047,125.995,3.0,922328399000,1999-03-25T11:19:59+0900
11:18:05.701,11:20:11.734,true,35.22402448,139.67276021,126.033,3.0,922328410000,1999-03-25T11:20:10+0900
11:18:05.701,11:20:11.800,true,35.22402453,139.67276006,126.099,3.0,922328412000,1999-03-25T11:20:12+0900
11:18:05.701,11:20:12.380,true,35.22402456,139.67276001,126.679,3.0,922328413000,1999-03-25T11:20:13+0900
11:18:05.701,11:20:16.539,true,35.22402459,139.67275991,130.838,3.0,922328414000,1999-03-25T11:20:14+0900
11:18:05.701,11:20:16.553,true,35.22402479,139.67275954,130.852,3.0,922328417000,1999-03-25T11:20:17+0900
11:18:05.701,11:20:17.452,true,35.2240249,139.67275955,131.751,3.0,922328418000,1999-03-25T11:20:18+0900
11:18:05.701,11:20:18.432,true,35.22402498,139.67275949,132.731,3.0,922328419000,1999-03-25T11:20:19+0900
11:18:05.701,11:20:18.474,false,0.0,0.0,132.773,0.0,-1,-1
11:30:22.798,11:30:48.637,true,35.22417577,139.672845,25.839,25.0,922329027383,1999-03-25T11:30:27+0900
11:30:22.798,11:31:00.497,true,35.22400988,139.67284766,37.699,26.0,922329059000,1999-03-25T11:30:59+0900
11:30:22.798,11:31:00.511,true,35.22400768,139.67286368,37.713,20.0,922329061000,1999-03-25T11:31:01+0900
11:30:22.798,11:32:00.759,true,35.22400516,139.67288406,97.961,7.0,922329075000,1999-03-25T11:31:15+0900
11:30:22.798,11:32:01.125,true,35.2240048,139.67288437,98.327,7.0,922329078000,1999-03-25T11:31:18+0900
11:30:22.798,11:32:01.150,true,35.22400437,139.67288452,98.352,6.0,922329082000,1999-03-25T11:31:22+0900
11:30:22.798,11:32:01.171,true,35.22400423,139.67288452,98.373,6.0,922329083000,1999-03-25T11:31:23+0900
11:30:22.798,11:32:01.179,true,35.22400407,139.67288458,98.381,6.0,922329085000,1999-03-25T11:31:25+0900
11:30:22.798,11:32:01.192,true,35.22400328,139.67288434,98.394,7.0,922329093000,1999-03-25T11:31:33+0900
11:30:22.798,11:32:01.203,true,35.224003,139.67288408,98.405,7.0,922329096000,1999-03-25T11:31:36+0900
11:30:22.798,11:32:01.257,true,35.22400227,139.67288316,98.459,6.0,922329106000,1999-03-25T11:31:46+0900
