測位方式,測位開始待ち時間,TrackingTimer,Interval,アシストデータ削除時間,アシストデータ削除有無,ログ出力有無
TRACKING,300,120,300,3,true,true
測位開始時間,測位終了時間,測位成否,緯度,経度,TTFF,Accuracy,LocationTime(epoch),LocationTime(UTC)
13:11:16.184,13:11:51.920,true,35.22416353,139.67249393,35.736,64.0,1541650314000,2018-11-08T13:11:54+0900
13:11:16.184,13:11:59.311,true,35.22406538,139.67276989,43.127,18.0,922335119446,1999-03-25T13:11:59+0900
13:11:16.184,13:12:01.201,true,35.22390776,139.6728913,45.017,15.0,922335121409,1999-03-25T13:12:01+0900
13:11:16.184,13:12:02.197,true,35.22394087,139.67289623,46.013,14.0,922335122397,1999-03-25T13:12:02+0900
13:11:16.184,13:12:03.191,true,35.22400514,139.67292039,47.007,28.0,922335123406,1999-03-25T13:12:03+0900
13:11:16.184,13:12:04.214,true,35.22387269,139.67293469,48.03,38.0,922335124406,1999-03-25T13:12:04+0900
13:11:16.184,13:12:05.200,true,35.22398113,139.67304063,49.016,28.0,922335125406,1999-03-25T13:12:05+0900
13:11:16.184,13:12:06.212,true,35.22412611,139.6730157,50.028,29.0,922335126406,1999-03-25T13:12:06+0900
13:11:16.184,13:12:07.197,true,35.224101,139.67300323,51.013,24.0,922335127406,1999-03-25T13:12:07+0900
13:11:16.184,13:12:08.195,true,35.22388435,139.67273526,52.011,21.0,922335128384,1999-03-25T13:12:08+0900
13:11:16.184,13:12:09.219,true,35.2238284,139.67263288,53.035,24.0,922335129366,1999-03-25T13:12:09+0900
13:11:16.184,13:12:10.270,true,35.22381867,139.672756,54.086,23.0,922335130366,1999-03-25T13:12:10+0900
13:11:16.184,13:12:11.197,true,35.22379176,139.67273296,55.013,17.0,922335131366,1999-03-25T13:12:11+0900
13:11:16.184,13:12:12.188,true,35.22380318,139.67282211,56.004,21.0,922335132367,1999-03-25T13:12:12+0900
13:11:16.184,13:12:13.196,true,35.22370581,139.67285024,57.012,20.0,922335133367,1999-03-25T13:12:13+0900
13:11:16.184,13:12:14.192,true,35.22375815,139.67280862,58.008,20.0,922335134385,1999-03-25T13:12:14+0900
